support,itemsets,length
0.30286563888348056,"frozenset({'A:NSW', 'O:No'})",2
0.3004053312565269,"frozenset({'A:NSW', 'W:-9.0'})",2
0.4298989326866913,"frozenset({'E:Multiple', 'F:No'})",2
0.363789227746606,"frozenset({'H:No', 'E:Multiple'})",2
0.35440819866541584,"frozenset({'E:Multiple', 'J:Unknown'})",2
0.343186363877728,"frozenset({'K:Undetermined', 'E:Multiple'})",2
0.3431509637679877,"frozenset({'E:Multiple', 'L:Undetermined'})",2
0.35513390091509284,"frozenset({'E:Multiple', 'M:Undetermined'})",2
0.4290847301626635,"frozenset({'E:Multiple', 'N:No'})",2
0.43965166292015506,"frozenset({'E:Multiple', 'O:No'})",2
0.3019452360302317,"frozenset({'E:Multiple', 'Q:Day'})",2
0.405933058392481,"frozenset({'E:Multiple', 'R:No'})",2
0.43379294475812874,"frozenset({'E:Multiple', 'W:-9.0'})",2
0.33594704143582843,"frozenset({'E:Multiple', 'X:normal'})",2
0.5505425066817707,"frozenset({'E:Single', 'F:No'})",2
0.3496645839602103,"frozenset({'E:Single', 'G:No'})",2
0.5360638617979716,"frozenset({'H:No', 'E:Single'})",2
0.44490857921659555,"frozenset({'E:Single', 'J:Unknown'})",2
0.43232384020390463,"frozenset({'E:Single', 'K:Undetermined'})",2
0.43232384020390463,"frozenset({'E:Single', 'L:Undetermined'})",2
0.44995309485459406,"frozenset({'E:Single', 'M:Undetermined'})",2
0.5396038727720056,"frozenset({'E:Single', 'N:No'})",2
0.554418818698338,"frozenset({'E:Single', 'O:No'})",2
0.3036090411880277,"frozenset({'E:Single', 'P:Weekday'})",2
0.5198860116466361,"frozenset({'E:Single', 'R:No'})",2
0.39317131883108836,"frozenset({'T:Male', 'E:Single'})",2
0.5471971963113086,"frozenset({'E:Single', 'W:-9.0'})",2
0.49453953307255255,"frozenset({'E:Single', 'X:normal'})",2
0.5978370532948653,"frozenset({'G:No', 'F:No'})",2
0.3494875834115086,"frozenset({'F:No', 'G:Undetermined'})",2
0.8827371364851231,"frozenset({'H:No', 'F:No'})",2
0.33635414269784236,"frozenset({'I:100', 'F:No'})",2
0.7841655309131458,"frozenset({'J:Unknown', 'F:No'})",2
0.7607483583199108,"frozenset({'K:Undetermined', 'F:No'})",2
0.7607129582101705,"frozenset({'L:Undetermined', 'F:No'})",2
0.789900348691081,"frozenset({'M:Undetermined', 'F:No'})",2
0.9495371435651451,"frozenset({'F:No', 'N:No'})",2
0.9745650211515656,"frozenset({'F:No', 'O:No'})",2
0.5755172841035807,"frozenset({'P:Weekday', 'F:No'})",2
0.40471175460643927,"frozenset({'F:No', 'P:Weekend'})",2
0.5563127245694461,"frozenset({'Q:Day', 'F:No'})",2
0.4233676124395986,"frozenset({'Q:Night', 'F:No'})",2
0.9258190700391171,"frozenset({'R:No', 'F:No'})",2
0.42023470272757846,"frozenset({'S:Driver', 'F:No'})",2
0.6675575694284652,"frozenset({'T:Male', 'F:No'})",2
0.5260987309060658,"frozenset({'V:Day', 'F:No'})",2
0.39897693682850416,"frozenset({'F:No', 'V:Night'})",2
0.9616793812060818,"frozenset({'F:No', 'W:-9.0'})",2
0.8159725295148414,"frozenset({'F:No', 'X:normal'})",2
0.5483122997681292,"frozenset({'H:No', 'G:No'})",2
0.42200470821459546,"frozenset({'J:Unknown', 'G:No'})",2
0.399684939023311,"frozenset({'K:Undetermined', 'G:No'})",2
0.399684939023311,"frozenset({'G:No', 'L:Undetermined'})",2
0.4271200240720746,"frozenset({'M:Undetermined', 'G:No'})",2
0.5882790236649733,"frozenset({'G:No', 'N:No'})",2
0.6022089668477972,"frozenset({'G:No', 'O:No'})",2
0.35382409685470023,"frozenset({'P:Weekday', 'G:No'})",2
0.3448678690903942,"frozenset({'G:No', 'Q:Day'})",2
0.5819247039665822,"frozenset({'G:No', 'R:No'})",2
0.42982813246721063,"frozenset({'T:Male', 'G:No'})",2
0.33605324176504947,"frozenset({'V:Day', 'G:No'})",2
0.590119829371471,"frozenset({'G:No', 'W:-9.0'})",2
0.5118147866258386,"frozenset({'G:No', 'X:normal'})",2
0.3204240933146893,"frozenset({'H:No', 'G:Undetermined'})",2
0.35777120909074817,"frozenset({'J:Unknown', 'G:Undetermined'})",2
0.35771810892613765,"frozenset({'K:Undetermined', 'G:Undetermined'})",2
0.35771810892613765,"frozenset({'L:Undetermined', 'G:Undetermined'})",2
0.35777120909074817,"frozenset({'M:Undetermined', 'G:Undetermined'})",2
0.347345876772218,"frozenset({'G:Undetermined', 'N:No'})",2
0.35858541161477603,"frozenset({'G:Undetermined', 'O:No'})",2
0.3110784643432395,"frozenset({'R:No', 'G:Undetermined'})",2
0.35858541161477603,"frozenset({'G:Undetermined', 'W:-9.0'})",2
0.7168345221870188,"frozenset({'H:No', 'J:Unknown'})",2
0.6957537568366462,"frozenset({'H:No', 'K:Undetermined'})",2
0.6957183567269059,"frozenset({'H:No', 'L:Undetermined'})",2
0.7223215391967716,"frozenset({'H:No', 'M:Undetermined'})",2
0.8705771987893163,"frozenset({'H:No', 'N:No'})",2
0.8942244720958635,"frozenset({'H:No', 'O:No'})",2
0.5147352956794166,"frozenset({'H:No', 'P:Weekday'})",2
0.38490539320671896,"frozenset({'H:No', 'P:Weekend'})",2
0.508734977078429,"frozenset({'H:No', 'Q:Day'})",2
0.39035701010673135,"frozenset({'H:No', 'Q:Night'})",2
0.8336548843301415,"frozenset({'H:No', 'R:No'})",2
0.3664265359222614,"frozenset({'H:No', 'S:Driver'})",2
0.6086694868754093,"frozenset({'T:Male', 'H:No'})",2
0.4810520912614829,"frozenset({'H:No', 'V:Day'})",2
0.36816114129953803,"frozenset({'H:No', 'V:Night'})",2
0.8826663362656424,"frozenset({'H:No', 'W:-9.0'})",2
0.7569251464679541,"frozenset({'H:No', 'X:normal'})",2
0.3295750216825672,"frozenset({'I:100', 'N:No'})",2
0.33952245251960284,"frozenset({'I:100', 'O:No'})",2
0.3188133883215038,"frozenset({'I:100', 'R:No'})",2
0.3354337398445935,"frozenset({'I:100', 'W:-9.0'})",2
0.7726958953572756,"frozenset({'K:Undetermined', 'J:Unknown'})",2
0.7726958953572756,"frozenset({'J:Unknown', 'L:Undetermined'})",2
0.7983963750287626,"frozenset({'M:Undetermined', 'J:Unknown'})",2
0.7745721011735136,"frozenset({'J:Unknown', 'N:No'})",2
0.7962369683346019,"frozenset({'J:Unknown', 'O:No'})",2
0.46754694939554314,"frozenset({'P:Weekday', 'J:Unknown'})",2
0.3315397277731561,"frozenset({'J:Unknown', 'P:Weekend'})",2
0.44922739260491706,"frozenset({'J:Unknown', 'Q:Day'})",2
0.34932828291767704,"frozenset({'J:Unknown', 'Q:Night'})",2
0.7343752765633573,"frozenset({'J:Unknown', 'R:No'})",2
0.3333628334247836,"frozenset({'S:Driver', 'J:Unknown'})",2
0.5343823565853054,"frozenset({'T:Male', 'J:Unknown'})",2
0.4213852062941395,"frozenset({'V:Day', 'J:Unknown'})",2
0.3266014124643786,"frozenset({'J:Unknown', 'V:Night'})",2
0.7993167778820114,"frozenset({'J:Unknown', 'W:-9.0'})",2
0.6579818397437032,"frozenset({'J:Unknown', 'X:normal'})",2
0.7754748039718923,"frozenset({'K:Undetermined', 'L:Undetermined'})",2
0.7754748039718923,"frozenset({'K:Undetermined', 'M:Undetermined'})",2
0.7511726286351488,"frozenset({'K:Undetermined', 'N:No'})",2
0.7726781953024054,"frozenset({'K:Undetermined', 'O:No'})",2
0.452962104182523,"frozenset({'K:Undetermined', 'P:Weekday'})",2
0.32231799918579745,"frozenset({'K:Undetermined', 'P:Weekend'})",2
0.43473104766624776,"frozenset({'K:Undetermined', 'Q:Day'})",2
0.3400180540559676,"frozenset({'K:Undetermined', 'Q:Night'})",2
0.7109581039701223,"frozenset({'K:Undetermined', 'R:No'})",2
0.32274280050268156,"frozenset({'S:Driver', 'K:Undetermined'})",2
0.5168416022089668,"frozenset({'T:Male', 'K:Undetermined'})",2
0.4068888613554702,"frozenset({'K:Undetermined', 'V:Day'})",2
0.31729118360266917,"frozenset({'K:Undetermined', 'V:Night'})",2
0.7755102040816326,"frozenset({'K:Undetermined', 'W:-9.0'})",2
0.6377329769722286,"frozenset({'K:Undetermined', 'X:normal'})",2
0.7754748039718923,"frozenset({'M:Undetermined', 'L:Undetermined'})",2
0.7511372285254084,"frozenset({'L:Undetermined', 'N:No'})",2
0.7726427951926651,"frozenset({'L:Undetermined', 'O:No'})",2
0.4529267040727826,"frozenset({'P:Weekday', 'L:Undetermined'})",2
0.32231799918579745,"frozenset({'L:Undetermined', 'P:Weekend'})",2
0.4346956475565074,"frozenset({'L:Undetermined', 'Q:Day'})",2
0.3400180540559676,"frozenset({'Q:Night', 'L:Undetermined'})",2
0.7109227038603819,"frozenset({'L:Undetermined', 'R:No'})",2
0.32274280050268156,"frozenset({'S:Driver', 'L:Undetermined'})",2
0.5168239021540967,"frozenset({'T:Male', 'L:Undetermined'})",2
0.40685346124572985,"frozenset({'V:Day', 'L:Undetermined'})",2
0.31729118360266917,"frozenset({'L:Undetermined', 'V:Night'})",2
0.7754748039718923,"frozenset({'L:Undetermined', 'W:-9.0'})",2
0.6377329769722286,"frozenset({'L:Undetermined', 'X:normal'})",2
0.7800768182381366,"frozenset({'M:Undetermined', 'N:No'})",2
0.8019363860027966,"frozenset({'M:Undetermined', 'O:No'})",2
0.47064445899782287,"frozenset({'M:Undetermined', 'P:Weekday'})",2
0.3342124360585518,"frozenset({'M:Undetermined', 'P:Weekend'})",2
0.45267890330460026,"frozenset({'M:Undetermined', 'Q:Day'})",2
0.3516292900507992,"frozenset({'M:Undetermined', 'Q:Night'})",2
0.7401100943412925,"frozenset({'M:Undetermined', 'R:No'})",2
0.336212542258881,"frozenset({'S:Driver', 'M:Undetermined'})",2
0.5388427704125883,"frozenset({'T:Male', 'M:Undetermined'})",2
0.4248367169938227,"frozenset({'V:Day', 'M:Undetermined'})",2
0.3289024195975008,"frozenset({'M:Undetermined', 'V:Night'})",2
