support,itemsets,length
0.8288758695151955,"frozenset({'1', '-9.0'})",2
0.3354337398445935,"frozenset({'100', '-9.0'})",2
0.5579057295077615,"frozenset({'-9.0', 'Day'})",2
0.4164822910951024,"frozenset({'-9.0', 'Driver'})",2
0.6647432607041082,"frozenset({'-9.0', 'Male'})",2
0.43379294475812874,"frozenset({'Multiple', '-9.0'})",2
0.3004053312565269,"frozenset({'-9.0', 'NSW'})",2
0.42230560914738835,"frozenset({'-9.0', 'Night'})",2
0.9809901410694373,"frozenset({'No', '-9.0'})",2
0.5471971963113086,"frozenset({'Single', '-9.0'})",2
0.811034214206064,"frozenset({'-9.0', 'Undetermined'})",2
0.8025558879232526,"frozenset({'Unknown', '-9.0'})",2
0.5776058905782608,"frozenset({'Weekday', '-9.0'})",2
0.4031541497778643,"frozenset({'Weekend', '-9.0'})",2
0.4827512965290192,"frozenset({'1', 'Day'})",2
0.3677363399826539,"frozenset({'1', 'Driver'})",2
0.5861904171902933,"frozenset({'1', 'Male'})",2
0.3453811706816291,"frozenset({'Multiple', '1'})",2
0.3622139228631609,"frozenset({'1', 'Night'})",2
0.8456024213675062,"frozenset({'1', 'No'})",2
0.5002212506858771,"frozenset({'Single', '1'})",2
0.681062711294405,"frozenset({'1', 'Undetermined'})",2
0.6732746871515302,"frozenset({'1', 'Unknown'})",2
0.5057967679699807,"frozenset({'1', 'Weekday'})",2
0.33961095279395365,"frozenset({'1', 'Weekend'})",2
0.3417172593235039,"frozenset({'100', 'No'})",2
0.36092181885763847,"frozenset({'Day', 'Male'})",2
0.3019452360302317,"frozenset({'Multiple', 'Day'})",2
0.5695877657220737,"frozenset({'No', 'Day'})",2
0.4565375152662973,"frozenset({'Day', 'Undetermined'})",2
0.45090889781758325,"frozenset({'Unknown', 'Day'})",2
0.395631626458042,"frozenset({'Weekday', 'Day'})",2
0.3206364939731313,"frozenset({'Male', 'Driver'})",2
0.42540311874966813,"frozenset({'No', 'Driver'})",2
0.3366727436855054,"frozenset({'Undetermined', 'Driver'})",2
0.33495583836309895,"frozenset({'Unknown', 'Driver'})",2
0.3175743844805919,"frozenset({'Night', 'Male'})",2
0.6791157052586863,"frozenset({'No', 'Male'})",2
0.39317131883108836,"frozenset({'Single', 'Male'})",2
0.5396215728268757,"frozenset({'Male', 'Undetermined'})",2
0.5367895640476485,"frozenset({'Unknown', 'Male'})",2
0.38846310423562314,"frozenset({'Weekday', 'Male'})",2
0.4421119705471087,"frozenset({'Multiple', 'No'})",2
0.3581252101881516,"frozenset({'Multiple', 'Undetermined'})",2
0.3551693010248332,"frozenset({'Multiple', 'Unknown'})",2
0.30458254420588704,"frozenset({'No', 'NSW'})",2
0.4296334318636388,"frozenset({'No', 'Night'})",2
0.3539656972936616,"frozenset({'Night', 'Undetermined'})",2
0.35086818769138184,"frozenset({'Unknown', 'Night'})",2
0.5578880294528913,"frozenset({'Single', 'No'})",2
0.8112820149742465,"frozenset({'No', 'Undetermined'})",2
0.8025558879232526,"frozenset({'No', 'Unknown'})",2
0.589376427066924,"frozenset({'No', 'Weekday'})",2
0.41039347221976386,"frozenset({'No', 'Weekend'})",2
0.4531568047860948,"frozenset({'Single', 'Undetermined'})",2
0.44738658689841937,"frozenset({'Single', 'Unknown'})",2
0.3036090411880277,"frozenset({'Single', 'Weekday'})",2
0.8014761845761722,"frozenset({'Unknown', 'Undetermined'})",2
0.47439687063029895,"frozenset({'Weekday', 'Undetermined'})",2
0.33665504363063525,"frozenset({'Weekend', 'Undetermined'})",2
0.46924615466307945,"frozenset({'Weekday', 'Unknown'})",2
0.3330796325468609,"frozenset({'Weekend', 'Unknown'})",2
