National LGA Name 2021,State,National Remoteness Areas,Location Dimension Index
Wagga Wagga,NSW,Inner Regional Australia,0
Hawkesbury,NSW,Inner Regional Australia,1
Northern Midlands,Tas,Inner Regional Australia,2
Armidale Regional,NSW,Outer Regional Australia,3
Undetermined,Vic,Unknown,4
Lockyer Valley,Qld,Inner Regional Australia,5
Wakefield,SA,Outer Regional Australia,6
Undetermined,WA,Unknown,7
Southern Downs,Qld,Inner Regional Australia,8
Brighton,Tas,Inner Regional Australia,9
West Tamar,Tas,Outer Regional Australia,10
Mid Murray,SA,Outer Regional Australia,11
Blue Mountains,NSW,Major Cities of Australia,12
Upper Lachlan,NSW,Inner Regional Australia,13
Wattle Range,SA,Outer Regional Australia,14
Cairns,Qld,Outer Regional Australia,15
Unincorporated ACT,ACT,Major Cities of Australia,16
Wollongong,NSW,Major Cities of Australia,17
Penrith,NSW,Major Cities of Australia,18
Upper Hunter,NSW,Outer Regional Australia,19
South Burnett,Qld,Outer Regional Australia,20
Mid-Western Regional,NSW,Outer Regional Australia,21
Canterbury-Bankstown,NSW,Major Cities of Australia,22
Undetermined,NT,Unknown,23
Mitchell,Vic,Inner Regional Australia,24
Greater Hume,NSW,Outer Regional Australia,25
Southern Downs,Qld,Outer Regional Australia,26
Barossa,SA,Inner Regional Australia,27
Port Macquarie-Hastings,NSW,Inner Regional Australia,28
Douglas,Qld,Outer Regional Australia,29
Mackay,Qld,Outer Regional Australia,30
Yankalilla,SA,Inner Regional Australia,31
Logan,Qld,Major Cities of Australia,32
Dorset,Tas,Outer Regional Australia,33
Armidale Regional,NSW,Inner Regional Australia,34
Nambucca Valley,NSW,Inner Regional Australia,35
Narromine,NSW,Outer Regional Australia,36
Fraser Coast,Qld,Inner Regional Australia,37
Unincorporated SA,SA,Very Remote Australia,38
Shellharbour,NSW,Major Cities of Australia,39
Narrabri,NSW,Outer Regional Australia,40
Logan,Qld,Inner Regional Australia,41
Cook,Qld,Remote Australia,42
Tenterfield,NSW,Outer Regional Australia,43
Greater Bendigo,Vic,Inner Regional Australia,44
Central Coast,NSW,Major Cities of Australia,45
Tamworth Regional,NSW,Outer Regional Australia,46
Whittlesea,Vic,Major Cities of Australia,47
Hilltops,NSW,Inner Regional Australia,48
Forbes,NSW,Outer Regional Australia,49
Toowoomba,Qld,Inner Regional Australia,50
Lake Macquarie,NSW,Major Cities of Australia,51
Livingstone,Qld,Remote Australia,52
Northern Midlands,Tas,Outer Regional Australia,53
Blacktown,NSW,Major Cities of Australia,54
Dubbo Regional,NSW,Inner Regional Australia,55
Balranald,NSW,Outer Regional Australia,56
Lockhart River,Qld,Very Remote Australia,57
Golden Plains,Vic,Inner Regional Australia,58
Light,SA,Inner Regional Australia,59
Ipswich,Qld,Major Cities of Australia,60
Cassowary Coast,Qld,Outer Regional Australia,61
Tumby Bay,SA,Remote Australia,62
Liverpool,NSW,Major Cities of Australia,63
Cumberland,NSW,Major Cities of Australia,64
Muswellbrook,NSW,Inner Regional Australia,65
Moreton Bay,Qld,Inner Regional Australia,66
Ballina,NSW,Inner Regional Australia,67
Kyogle,NSW,Inner Regional Australia,68
Bundaberg,Qld,Inner Regional Australia,69
Melbourne,Vic,Major Cities of Australia,70
Brisbane,Qld,Major Cities of Australia,71
Snowy Valleys,NSW,Outer Regional Australia,72
Whitsunday,Qld,Outer Regional Australia,73
Fairfield,NSW,Major Cities of Australia,74
Yass Valley,NSW,Inner Regional Australia,75
Central Highlands (Qld),Qld,Remote Australia,76
The Hills,NSW,Major Cities of Australia,77
Salisbury,SA,Major Cities of Australia,78
Port Stephens,NSW,Inner Regional Australia,79
Macedon Ranges,Vic,Inner Regional Australia,80
Moyne,Vic,Inner Regional Australia,81
Cardinia,Vic,Major Cities of Australia,82
East Gippsland,Vic,Outer Regional Australia,83
Hornsby,NSW,Major Cities of Australia,84
Mareeba,Qld,Very Remote Australia,85
Rockhampton,Qld,Inner Regional Australia,86
Mid-Coast,NSW,Inner Regional Australia,87
Ipswich,Qld,Inner Regional Australia,88
Glenelg,Vic,Outer Regional Australia,89
Western Downs,Qld,Outer Regional Australia,90
Port Adelaide Enfield,SA,Major Cities of Australia,91
Cabonne,NSW,Outer Regional Australia,92
Gold Coast,Qld,Major Cities of Australia,93
Frankston,Vic,Major Cities of Australia,94
Moree Plains,NSW,Outer Regional Australia,95
Parramatta,NSW,Major Cities of Australia,96
Meander Valley,Tas,Outer Regional Australia,97
Queanbeyan-Palerang Regional,NSW,Major Cities of Australia,98
Snowy Monaro Regional,NSW,Outer Regional Australia,99
Federation,NSW,Outer Regional Australia,100
Undetermined,ACT,Unknown,101
Cowra,NSW,Inner Regional Australia,102
Goulburn Mulwaree,NSW,Inner Regional Australia,103
Gympie,Qld,Inner Regional Australia,104
Moreton Bay,Qld,Major Cities of Australia,105
Willoughby,NSW,Major Cities of Australia,106
Shoalhaven,NSW,Inner Regional Australia,107
Queanbeyan-Palerang Regional,NSW,Inner Regional Australia,108
Nillumbik,Vic,Inner Regional Australia,109
Wollongong,NSW,Inner Regional Australia,110
South Burnett,Qld,Inner Regional Australia,111
Tatiara,SA,Remote Australia,112
Tweed,NSW,Inner Regional Australia,113
Mid-Coast,NSW,Outer Regional Australia,114
Ararat,Vic,Inner Regional Australia,115
Colac Otway,Vic,Inner Regional Australia,116
McKinlay,Qld,Very Remote Australia,117
Singleton,NSW,Inner Regional Australia,118
Gladstone,Qld,Outer Regional Australia,119
Lithgow,NSW,Inner Regional Australia,120
