LGA,Dwelling Records
Armidale Regional,12955.0
Ballina,20889.0
Balranald,1091.0
Bathurst Regional,18458.0
Bayside (NSW),74840.0
Bega Valley,18867.0
Bellingen,6390.0
Berrigan,4265.0
Blacktown,133984.0
Bland,3107.0
Blayney,3246.0
Blue Mountains,35239.0
Bogan,1306.0
Bourke,1317.0
Brewarrina,740.0
Broken Hill,9591.0
Burwood,16201.0
Byron,16996.0
Cabonne,5895.0
Camden,39601.0
Campbelltown (NSW),63128.0
Canada Bay,39121.0
Canterbury-Bankstown,133438.0
Carrathool,1312.0
Central Coast (NSW),152870.0
Central Darling,1065.0
Cessnock,25812.0
Clarence Valley,26143.0
Cobar,2320.0
Coffs Harbour,34696.0
Coolamon,1974.0
Coonamble,1825.0
Cootamundra-Gundagai Regional,5510.0
Cowra,6267.0
Cumberland,83189.0
Dubbo Regional,22823.0
Dungog,4224.0
Edward River,4252.0
Eurobodalla,24600.0
Fairfield,67658.0
Federation,6546.0
Forbes,4373.0
Georges River,58429.0
Gilgandra,2137.0
Glen Innes Severn,4610.0
Goulburn Mulwaree,14739.0
Greater Hume Shire,4846.0
Griffith,10833.0
Gunnedah,5842.0
Gwydir,2443.0
Hawkesbury,25523.0
Hay,1552.0
Hilltops,9220.0
Hornsby,55952.0
Hunters Hill,5323.0
Inner West,85462.0
Inverell,8137.0
Junee,2519.0
Kempsey,14292.0
Kiama,10785.0
Ku-ring-gai,45894.0
Kyogle,4688.0
Lachlan,3014.0
Lake Macquarie,88908.0
Lane Cove,17340.0
Leeton,4705.0
Lismore,19781.0
Lithgow,10236.0
Liverpool,77895.0
Liverpool Plains,3694.0
Lockhart,1417.0
Maitland,35456.0
Mid-Coast,50474.0
Mid-Western Regional,12262.0
Moree Plains,6230.0
Mosman,13410.0
Murray River,6268.0
Murrumbidgee,1647.0
Muswellbrook,7333.0
Nambucca Valley,10016.0
Narrabri,5997.0
Narrandera,2694.0
Narromine,2851.0
Newcastle,74585.0
North Sydney,39034.0
Northern Beaches,105115.0
Oberon,2828.0
Orange,18706.0
Parkes,6697.0
Parramatta,106654.0
Penrith,81250.0
Port Macquarie-Hastings,40066.0
Port Stephens,35699.0
Queanbeyan-Palerang Regional,26549.0
Randwick,59965.0
Richmond Valley,10692.0
Ryde,55742.0
Shellharbour,29884.0
Shoalhaven,58799.0
Singleton,9838.0
Snowy Monaro Regional,12251.0
Snowy Valleys,7075.0
Strathfield,18287.0
Sutherland Shire,90981.0
Sydney,124114.0
Tamworth Regional,27725.0
Temora,2926.0
Tenterfield,3968.0
The Hills Shire,64080.0
Tweed,44661.0
Upper Hunter Shire,6793.0
Upper Lachlan Shire,4584.0
Uralla,2759.0
Wagga Wagga,28244.0
Walcha,1638.0
