Crash ID,Crash Type,Accident Type Dimension Index
20241115,Single,1
20241125,Single,2
20246013,Multiple,3
20241002,Multiple,4
20242261,Multiple,5
20243185,Multiple,6
20244016,Single,7
20245001,Single,8
20243168,Multiple,9
20246003,Multiple,10
20246001,Multiple,11
20244081,Single,12
20241087,Single,13
20241054,Multiple,14
20244042,Single,15
20242183,Single,16
20242171,Multiple,17
20243246,Single,18
20248007,Single,19
20241101,Single,20
20241216,Single,21
20241300,Multiple,22
20243007,Multiple,23
20241278,Single,24
20245005,Single,25
20241149,Single,26
20247029,Single,27
20242156,Single,28
20245143,Single,29
20245039,Single,30
20242087,Single,31
20241068,Multiple,32
20243273,Single,33
20242141,Multiple,34
20245045,Single,35
20245093,Single,36
20244020,Multiple,37
20244055,Multiple,38
20242095,Single,39
20245100,Single,40
20241094,Multiple,41
20243209,Multiple,42
20243160,Multiple,43
20244001,Multiple,44
20243243,Multiple,45
20245119,Single,46
20246016,Single,47
20241119,Multiple,48
20245133,Single,49
20245069,Single,50
20241169,Single,51
20245161,Single,52
20241291,Multiple,53
20243036,Single,54
20244026,Single,55
20241077,Single,56
20241028,Multiple,57
20241022,Single,58
20243015,Multiple,59
20245068,Single,60
20242229,Single,61
20244023,Single,62
20241098,Single,63
20243114,Single,64
20245092,Single,65
20241040,Multiple,66
20242188,Single,67
20241174,Multiple,68
20241088,Multiple,69
20245031,Single,70
20242136,Multiple,71
20241255,Multiple,72
20242227,Single,73
20241053,Single,74
20243046,Single,75
20245107,Single,76
20241080,Single,77
20242006,Multiple,78
20245130,Single,79
20243044,Multiple,80
20246009,Multiple,81
20241274,Multiple,82
20242073,Multiple,83
20241240,Single,84
20242035,Single,85
20243176,Single,86
20245006,Single,87
20241181,Single,88
20243110,Single,89
20242037,Single,90
20244044,Single,91
20243090,Single,92
20243147,Single,93
20245083,Single,94
20244019,Single,95
20241194,Multiple,96
20241139,Multiple,97
20241197,Multiple,98
20243220,Single,99
20243267,Multiple,100
20241057,Single,101
20245164,Single,102
20243174,Multiple,103
20242148,Multiple,104
20241166,Single,105
20247011,Single,106
20243213,Multiple,107
20241096,Single,108
20242089,Multiple,109
20245012,Single,110
20245070,Single,111
20243073,Single,112
20242264,Multiple,113
20241027,Single,114
20242018,Multiple,115
20241163,Single,116
20243143,Single,117
20241222,Multiple,118
20241218,Single,119
20243249,Single,120
20243098,Multiple,121
20242193,Single,122
20241306,Single,123
20247002,Multiple,124
20243037,Single,125
20244083,Single,126
20245145,Single,127
20241196,Multiple,128
20244028,Multiple,129
20243038,Single,130
20242023,Multiple,131
20242230,Multiple,132
20242127,Multiple,133
20242120,Single,134
20241106,Multiple,135
20241230,Single,136
20241055,Single,137
20241267,Multiple,138
20242260,Multiple,139
20242158,Single,140
20242057,Single,141
20242163,Single,142
20245098,Single,143
20243153,Multiple,144
20242161,Single,145
20243172,Single,146
20241236,Multiple,147
20245162,Single,148
20242213,Single,149
20242005,Single,150
20241188,Single,151
20245056,Single,152
20245008,Single,153
20242114,Multiple,154
20243191,Multiple,155
20241256,Multiple,156
20247006,Single,157
20242207,Single,158
20242019,Multiple,159
20243008,Multiple,160
20243041,Single,161
20243001,Single,162
20244021,Single,163
20243113,Single,164
20242050,Single,165
20242004,Multiple,166
20241107,Single,167
20243022,Single,168
20248002,Single,169
20242088,Single,170
20241173,Single,171
20241004,Single,172
20246004,Multiple,173
20241201,Multiple,174
20242124,Single,175
20241029,Single,176
20243005,Multiple,177
20241261,Multiple,178
20244024,Single,179
20245004,Single,180
20245134,Single,181
20241215,Multiple,182
20243186,Single,183
20248006,Single,184
20243208,Single,185
20241134,Multiple,186
20243040,Multiple,187
20241263,Single,188
20241302,Single,189
20241147,Single,190
20243096,Single,191
20243248,Multiple,192
20241150,Multiple,193
20241247,Multiple,194
20242051,Multiple,195
20242174,Multiple,196
20241234,Multiple,197
20242110,Multiple,198
20242052,Multiple,199
20243247,Single,200
20243144,Multiple,201
20242013,Single,202
20242008,Single,203
20241235,Multiple,204
20243087,Single,205
20244061,Multiple,206
20241009,Single,207
20241072,Multiple,208
20243129,Multiple,209
20242219,Multiple,210
20241219,Multiple,211
20244010,Multiple,212
20244040,Single,213
20243171,Single,214
20242075,Single,215
20243079,Single,216
20245103,Single,217
20242068,Multiple,218
20241045,Multiple,219
20243017,Multiple,220
20242128,Single,221
20247024,Single,222
20241160,Multiple,223
20241081,Multiple,224
20242103,Multiple,225
20241135,Multiple,226
20241209,Multiple,227
20245051,Single,228
20242140,Single,229
20242142,Single,230
20243107,Multiple,231
20243020,Multiple,232
20241151,Single,233
20243158,Multiple,234
20241286,Multiple,235
20243102,Multiple,236
20241303,Single,237
20246029,Single,238
20248005,Single,239
20243035,Single,240
20244018,Single,241
20241060,Single,242
20242022,Multiple,243
20241037,Single,244
20241257,Single,245
20241128,Single,246
20243089,Single,247
20242181,Single,248
20243082,Multiple,249
20245080,Single,250
20243150,Multiple,251
20245041,Single,252
20242152,Multiple,253
20247010,Single,254
20245088,Single,255
20243239,Single,256
20243170,Single,257
20242040,Single,258
20243084,Multiple,259
20241030,Single,260
20245016,Single,261
20243127,Multiple,262
20243003,Multiple,263
20243266,Single,264
20241042,Single,265
20243121,Single,266
20245124,Single,267
20245043,Single,268
20245044,Single,269
20241175,Multiple,270
20245061,Single,271
20243072,Single,272
20242232,Single,273
20244057,Single,274
20242173,Single,275
20241091,Single,276
20243201,Multiple,277
20242135,Multiple,278
20243225,Single,279
20245116,Single,280
20241167,Multiple,281
20244060,Single,282
20241268,Multiple,283
20244013,Multiple,284
20245002,Single,285
20243235,Multiple,286
20244059,Multiple,287
20245015,Single,288
20241266,Single,289
20243131,Single,290
20245111,Single,291
20242080,Single,292
20245160,Single,293
20241287,Multiple,294
20241152,Single,295
20243161,Multiple,296
20242042,Single,297
20243210,Single,298
20244025,Single,299
20243088,Single,300
20241211,Multiple,301
20242007,Multiple,302
20247050,Multiple,303
20245037,Single,304
20241204,Multiple,305
20244062,Single,306
20241137,Multiple,307
20243117,Multiple,308
20242081,Multiple,309
20242015,Multiple,310
20243206,Multiple,311
20242034,Single,312
20248003,Single,313
20244032,Multiple,314
20241153,Multiple,315
20242138,Multiple,316
20243198,Single,317
20243190,Single,318
20242107,Single,319
20243080,Single,320
20242204,Multiple,321
20242139,Single,322
20245086,Single,323
20247026,Single,324
20245063,Single,325
20241103,Single,326
20247025,Single,327
20242129,Single,328
20244027,Multiple,329
20243006,Single,330
20243108,Multiple,331
20243212,Multiple,332
20241237,Single,333
20241052,Single,334
20241308,Single,335
20246027,Single,336
20244072,Single,337
20245125,Single,338
20241195,Single,339
20244043,Multiple,340
20241102,Multiple,341
20243194,Single,342
20245148,Single,343
20246017,Multiple,344
20243070,Multiple,345
20243165,Multiple,346
20241063,Multiple,347
20241132,Multiple,348
20241292,Multiple,349
20245141,Single,350
20241189,Single,351
20241233,Multiple,352
20242115,Single,353
20242167,Multiple,354
20241016,Single,355
20246025,Single,356
20243234,Multiple,357
20241220,Multiple,358
20243002,Multiple,359
20241034,Multiple,360
20242012,Single,361
20243009,Multiple,362
20245018,Single,363
20241269,Single,364
20242093,Single,365
20242176,Multiple,366
20242255,Multiple,367
20241066,Single,368
20242175,Multiple,369
20243207,Single,370
20242029,Multiple,371
20241246,Multiple,372
20242046,Multiple,373
20241078,Single,374
20245065,Single,375
20243064,Single,376
20241013,Single,377
20246019,Single,378
20247019,Single,379
20247039,Single,380
20242257,Multiple,381
20241138,Multiple,382
20245013,Single,383
20247045,Single,384
20244014,Multiple,385
20242053,Single,386
20244069,Single,387
20243111,Multiple,388
20247028,Multiple,389
20243067,Single,390
20242186,Multiple,391
20242250,Single,392
20245078,Single,393
20243167,Single,394
20245150,Single,395
20243106,Single,396
20242098,Multiple,397
20241179,Multiple,398
20242070,Multiple,399
20243261,Multiple,400
20243227,Single,401
20242243,Multiple,402
20242102,Multiple,403
20245165,Single,404
20241109,Single,405
20243187,Single,406
20245028,Single,407
20241301,Multiple,408
20243135,Single,409
20245166,Single,410
20245110,Single,411
20241248,Multiple,412
20245030,Single,413
20243268,Single,414
20242071,Multiple,415
20241020,Single,416
20241294,Single,417
20241304,Multiple,418
20245112,Single,419
20242123,Single,420
20243197,Single,421
20242144,Multiple,422
20241199,Single,423
20243066,Single,424
20243203,Single,425
20243233,Multiple,426
20242209,Multiple,427
20242056,Multiple,428
20245152,Single,429
20242130,Multiple,430
20243109,Multiple,431
20243010,Single,432
20247035,Multiple,433
20243181,Multiple,434
20246018,Multiple,435
20241071,Single,436
20241186,Multiple,437
20243078,Multiple,438
20241223,Multiple,439
20245136,Single,440
20241221,Multiple,441
20241143,Multiple,442
20243242,Single,443
20247031,Multiple,444
20242189,Single,445
20245102,Single,446
20242170,Multiple,447
20243043,Multiple,448
20241140,Multiple,449
20244063,Multiple,450
20245010,Single,451
20241131,Single,452
20245019,Single,453
20242172,Multiple,454
20241111,Multiple,455
20242055,Single,456
20241017,Multiple,457
20244067,Single,458
20246024,Single,459
20241254,Single,460
20247004,Multiple,461
20243011,Multiple,462
20245147,Single,463
20246011,Multiple,464
20242177,Single,465
20241127,Single,466
20241210,Single,467
20242132,Single,468
20242184,Multiple,469
20243024,Single,470
20241253,Single,471
20245058,Single,472
20242224,Single,473
20243031,Single,474
20242069,Multiple,475
20245076,Single,476
20243156,Single,477
20242251,Single,478
20244034,Single,479
20242090,Single,480
20243231,Multiple,481
20242194,Single,482
20245085,Single,483
20243142,Single,484
20242043,Multiple,485
20243124,Multiple,486
20244007,Single,487
20242060,Single,488
20243104,Single,489
