Month,Index,Year,Dayweek,Time,Day of week,Time of Day
12,1,2024,Friday,04:00:00,Weekday,Night
12,2,2024,Friday,06:15:00,Weekday,Day
12,3,2024,Friday,09:43:00,Weekday,Day
12,4,2024,Friday,10:35:00,Weekday,Day
12,5,2024,Friday,11:30:00,Weekday,Day
12,6,2024,Friday,13:00:00,Weekday,Day
12,7,2024,Friday,13:39:00,Weekday,Day
12,8,2024,Friday,17:15:00,Weekday,Day
12,9,2024,Friday,19:00:00,Weekend,Night
12,10,2024,Friday,19:30:00,Weekend,Night
12,11,2024,Friday,19:40:00,Weekend,Night
12,12,2024,Friday,22:42:00,Weekend,Night
12,13,2024,Friday,23:00:00,Weekend,Night
12,14,2024,Friday,23:10:00,Weekend,Night
12,15,2024,Monday,01:00:00,Weekend,Night
12,16,2024,Monday,01:09:00,Weekend,Night
12,17,2024,Monday,02:40:00,Weekend,Night
12,18,2024,Monday,09:00:00,Weekday,Day
12,19,2024,Monday,10:20:00,Weekday,Day
12,20,2024,Monday,10:48:00,Weekday,Day
12,21,2024,Monday,12:05:00,Weekday,Day
12,22,2024,Monday,13:58:00,Weekday,Day
12,23,2024,Monday,14:00:00,Weekday,Day
12,24,2024,Monday,14:43:00,Weekday,Day
12,25,2024,Monday,15:52:00,Weekday,Day
12,26,2024,Monday,16:00:00,Weekday,Day
12,27,2024,Monday,19:35:00,Weekday,Night
12,28,2024,Monday,20:34:00,Weekday,Night
12,29,2024,Monday,21:04:00,Weekday,Night
12,30,2024,Monday,21:38:00,Weekday,Night
12,31,2024,Saturday,02:27:00,Weekend,Night
12,32,2024,Saturday,03:30:00,Weekend,Night
12,33,2024,Saturday,04:00:00,Weekend,Night
12,34,2024,Saturday,04:17:00,Weekend,Night
12,35,2024,Saturday,04:20:00,Weekend,Night
12,36,2024,Saturday,08:13:00,Weekend,Day
12,37,2024,Saturday,10:25:00,Weekend,Day
12,38,2024,Saturday,10:36:00,Weekend,Day
12,39,2024,Saturday,11:35:00,Weekend,Day
12,40,2024,Saturday,11:40:00,Weekend,Day
12,41,2024,Saturday,12:10:00,Weekend,Day
12,42,2024,Saturday,14:00:00,Weekend,Day
12,43,2024,Saturday,14:50:00,Weekend,Day
12,44,2024,Saturday,15:00:00,Weekend,Day
12,45,2024,Saturday,15:10:00,Weekend,Day
12,46,2024,Saturday,15:18:00,Weekend,Day
12,47,2024,Saturday,15:25:00,Weekend,Day
12,48,2024,Saturday,16:10:00,Weekend,Day
12,49,2024,Saturday,20:47:00,Weekend,Night
12,50,2024,Saturday,21:30:00,Weekend,Night
12,51,2024,Saturday,22:40:00,Weekend,Night
12,52,2024,Sunday,02:00:00,Weekend,Night
12,53,2024,Sunday,04:00:00,Weekend,Night
12,54,2024,Sunday,06:35:00,Weekend,Day
12,55,2024,Sunday,08:09:00,Weekend,Day
12,56,2024,Sunday,08:20:00,Weekend,Day
12,57,2024,Sunday,11:20:00,Weekend,Day
12,58,2024,Sunday,12:00:00,Weekend,Day
12,59,2024,Sunday,12:07:00,Weekend,Day
12,60,2024,Sunday,12:23:00,Weekend,Day
12,61,2024,Sunday,12:35:00,Weekend,Day
12,62,2024,Sunday,12:50:00,Weekend,Day
