LocationID,National LGA Name 2021,State,National Remoteness Areas,SA4 Name 2021
1,Wagga Wagga,NSW,Inner Regional Australia,Riverina
2,Hawkesbury,NSW,Inner Regional Australia,Sydney - Baulkham Hills and Hawkesbury
3,Northern Midlands,Tas,Inner Regional Australia,Launceston and North East
4,Armidale Regional,NSW,Outer Regional Australia,New England and North West
5,Undetermined,Vic,Unknown,Undetermined
6,Lockyer Valley,Qld,Inner Regional Australia,Toowoomba
7,Wakefield,SA,Outer Regional Australia,Barossa - Yorke - Mid North
8,Undetermined,WA,Unknown,Undetermined
9,Southern Downs,Qld,Inner Regional Australia,Darling Downs - Maranoa
10,Brighton,Tas,Inner Regional Australia,Hobart
11,West Tamar,Tas,Outer Regional Australia,Launceston and North East
12,Mid Murray,SA,Outer Regional Australia,South Australia - South East
13,Blue Mountains,NSW,Major Cities of Australia,Sydney - Outer West and Blue Mountains
14,Upper Lachlan,NSW,Inner Regional Australia,Capital Region
15,Wattle Range,SA,Outer Regional Australia,South Australia - South East
16,Cairns,Qld,Outer Regional Australia,Cairns
17,Unincorporated ACT,ACT,Major Cities of Australia,Australian Capital Territory
18,Wollongong,NSW,Major Cities of Australia,Illawarra
19,Penrith,NSW,Major Cities of Australia,Sydney - Outer West and Blue Mountains
20,Upper Hunter,NSW,Outer Regional Australia,Hunter Valley exc Newcastle
21,South Burnett,Qld,Outer Regional Australia,Wide Bay
22,Mid-Western Regional,NSW,Outer Regional Australia,Central West
23,Canterbury-Bankstown,NSW,Major Cities of Australia,Sydney - Inner South West
24,Undetermined,NT,Unknown,Undetermined
25,Mitchell,Vic,Inner Regional Australia,Hume
26,Greater Hume,NSW,Outer Regional Australia,Murray
27,Southern Downs,Qld,Outer Regional Australia,Darling Downs - Maranoa
28,Barossa,SA,Inner Regional Australia,Barossa - Yorke - Mid North
29,Port Macquarie-Hastings,NSW,Inner Regional Australia,Mid North Coast
30,Douglas,Qld,Outer Regional Australia,Cairns
31,Mackay,Qld,Outer Regional Australia,Mackay - Isaac - Whitsunday
32,Yankalilla,SA,Inner Regional Australia,South Australia - South East
33,Logan,Qld,Major Cities of Australia,Logan - Beaudesert
34,Dorset,Tas,Outer Regional Australia,Launceston and North East
35,Armidale Regional,NSW,Inner Regional Australia,New England and North West
36,Nambucca Valley,NSW,Inner Regional Australia,Mid North Coast
37,Narromine,NSW,Outer Regional Australia,Far West and Orana
38,Fraser Coast,Qld,Inner Regional Australia,Wide Bay
39,Unincorporated SA,SA,Very Remote Australia,South Australia - Outback
40,Shellharbour,NSW,Major Cities of Australia,Illawarra
41,Narrabri,NSW,Outer Regional Australia,New England and North West
42,Logan,Qld,Inner Regional Australia,Logan - Beaudesert
43,Cook,Qld,Remote Australia,Queensland - Outback
44,Tenterfield,NSW,Outer Regional Australia,New England and North West
45,Greater Bendigo,Vic,Inner Regional Australia,Bendigo
46,Central Coast,NSW,Major Cities of Australia,Central Coast
47,Tamworth Regional,NSW,Outer Regional Australia,New England and North West
48,Whittlesea,Vic,Major Cities of Australia,Melbourne - North East
49,Hilltops,NSW,Inner Regional Australia,Capital Region
50,Forbes,NSW,Outer Regional Australia,Central West
51,Toowoomba,Qld,Inner Regional Australia,Toowoomba
52,Lake Macquarie,NSW,Major Cities of Australia,Newcastle and Lake Macquarie
53,Livingstone,Qld,Remote Australia,Central Queensland
54,Northern Midlands,Tas,Outer Regional Australia,Launceston and North East
55,Blacktown,NSW,Major Cities of Australia,Sydney - Blacktown
56,Dubbo Regional,NSW,Inner Regional Australia,Far West and Orana
57,Balranald,NSW,Outer Regional Australia,Murray
58,Lockhart River,Qld,Very Remote Australia,Queensland - Outback
59,Golden Plains,Vic,Inner Regional Australia,Ballarat
60,Light,SA,Inner Regional Australia,Barossa - Yorke - Mid North
61,Ipswich,Qld,Major Cities of Australia,Ipswich
62,Cassowary Coast,Qld,Outer Regional Australia,Cairns
63,Tumby Bay,SA,Remote Australia,South Australia - Outback
64,Liverpool,NSW,Major Cities of Australia,Sydney - South West
65,Cumberland,NSW,Major Cities of Australia,Sydney - Parramatta
66,Muswellbrook,NSW,Inner Regional Australia,Hunter Valley exc Newcastle
67,Moreton Bay,Qld,Inner Regional Australia,Moreton Bay - North
68,Ballina,NSW,Inner Regional Australia,Richmond - Tweed
69,Kyogle,NSW,Inner Regional Australia,Richmond - Tweed
70,Bundaberg,Qld,Inner Regional Australia,Wide Bay
71,Melbourne,Vic,Major Cities of Australia,Melbourne - Inner
72,Brisbane,Qld,Major Cities of Australia,Brisbane - South
73,Snowy Valleys,NSW,Outer Regional Australia,Riverina
74,Whitsunday,Qld,Outer Regional Australia,Mackay - Isaac - Whitsunday
75,Fairfield,NSW,Major Cities of Australia,Sydney - South West
76,Yass Valley,NSW,Inner Regional Australia,Capital Region
77,Central Highlands (Qld),Qld,Remote Australia,Central Queensland
78,The Hills,NSW,Major Cities of Australia,Sydney - Baulkham Hills and Hawkesbury
79,Salisbury,SA,Major Cities of Australia,Adelaide - North
80,Port Stephens,NSW,Inner Regional Australia,Hunter Valley exc Newcastle
81,Macedon Ranges,Vic,Inner Regional Australia,Melbourne - North West
82,Moyne,Vic,Inner Regional Australia,Warrnambool and South West
83,Cardinia,Vic,Major Cities of Australia,Melbourne - South East
84,East Gippsland,Vic,Outer Regional Australia,Latrobe - Gippsland
