PersonnelID,Crash ID,Gender,Age Group,Road User
1,20241115,Male,65_to_74,Driver
2,20241125,Female,17_to_25,Driver
3,20246013,Female,26_to_39,Driver
4,20241002,Female,26_to_39,Driver
5,20242261,Male,40_to_64,Passenger
6,20243185,Female,40_to_64,Passenger
7,20244016,Male,40_to_64,Motorcycle rider
8,20245001,Male,65_to_74,Driver
9,20243168,Female,26_to_39,Passenger
10,20246003,Male,17_to_25,Motorcycle rider
11,20246001,Female,40_to_64,Driver
12,20244081,Female,40_to_64,Driver
13,20241087,Male,40_to_64,Pedestrian
14,20241054,Male,40_to_64,Driver
15,20244042,Male,40_to_64,Driver
16,20242183,Male,26_to_39,Driver
17,20242171,Male,26_to_39,Driver
18,20243246,Male,65_to_74,Pedestrian
19,20248007,Female,75_or_older,Driver
20,20241101,Male,17_to_25,Driver
21,20241216,Male,0_to_16,Pedestrian
22,20241300,Male,26_to_39,Driver
23,20243007,Male,65_to_74,Driver
24,20241278,Male,26_to_39,Driver
25,20245005,Female,26_to_39,Driver
26,20241149,Female,65_to_74,Pedestrian
27,20247029,Female,40_to_64,Pedestrian
28,20242156,Male,17_to_25,Motorcycle rider
29,20245143,Male,26_to_39,Pedestrian
30,20245039,Female,40_to_64,Driver
31,20242087,Male,40_to_64,Driver
32,20241068,Male,26_to_39,Driver
33,20243273,Male,17_to_25,Driver
34,20242141,Male,17_to_25,Driver
35,20245045,Male,17_to_25,Passenger
36,20245093,Male,26_to_39,Driver
37,20244020,Male,65_to_74,Motorcycle rider
38,20244055,Female,40_to_64,Driver
39,20244055,Female,65_to_74,Passenger
40,20242095,Male,65_to_74,Driver
41,20245100,Female,40_to_64,Driver
42,20241094,Male,65_to_74,Motorcycle rider
43,20243209,Male,26_to_39,Motorcycle rider
44,20243160,Female,65_to_74,Passenger
45,20243160,Male,75_or_older,Driver
46,20244001,Male,40_to_64,Motorcycle rider
47,20243243,Male,40_to_64,Motorcycle rider
48,20245119,Male,40_to_64,Motorcycle rider
49,20246016,Female,65_to_74,Passenger
50,20241119,Male,40_to_64,Pedal cyclist
51,20241119,Female,26_to_39,Driver
52,20245133,Male,40_to_64,Motorcycle rider
53,20245069,Male,40_to_64,Motorcycle rider
54,20241169,Male,26_to_39,Driver
55,20245161,Male,26_to_39,Motorcycle rider
56,20241291,Male,26_to_39,Driver
57,20243036,Male,40_to_64,Motorcycle rider
58,20244026,Female,40_to_64,Pedestrian
59,20241077,Female,75_or_older,Pedestrian
60,20241028,Female,75_or_older,Driver
61,20241022,Male,75_or_older,Driver
62,20243015,Male,40_to_64,Motorcycle rider
63,20245068,Female,75_or_older,Pedestrian
64,20242229,Male,17_to_25,Motorcycle rider
65,20244023,Female,65_to_74,Driver
66,20241098,Male,26_to_39,Motorcycle rider
67,20243114,Female,40_to_64,Driver
68,20243114,Female,40_to_64,Passenger
69,20245092,Male,75_or_older,Motorcycle rider
70,20241040,Male,40_to_64,Motorcycle rider
71,20242188,Female,40_to_64,Driver
72,20241174,Female,75_or_older,Driver
73,20241088,Male,26_to_39,Driver
74,20245031,Male,26_to_39,Passenger
75,20242136,Male,17_to_25,Driver
76,20241255,Male,40_to_64,Driver
77,20242227,Female,26_to_39,Pedestrian
78,20241053,Male,17_to_25,Driver
79,20241053,Male,17_to_25,Passenger
80,20243046,Male,0_to_16,Driver
81,20243046,Female,17_to_25,Passenger
82,20245107,Male,17_to_25,Motorcycle rider
83,20241080,Female,17_to_25,Driver
84,20242006,Male,40_to_64,Motorcycle rider
85,20245130,Male,40_to_64,Driver
86,20243044,Male,17_to_25,Passenger
87,20246009,Undetermined,65_to_74,Motorcycle rider
88,20241274,Female,75_or_older,Passenger
89,20242073,Male,17_to_25,Motorcycle rider
90,20241240,Female,Undetermined,Pedestrian
91,20242035,Male,75_or_older,Pedestrian
92,20243176,Male,17_to_25,Passenger
93,20245006,Female,65_to_74,Pedestrian
94,20241181,Female,40_to_64,Pedestrian
95,20243110,Female,17_to_25,Driver
96,20242037,Male,26_to_39,Driver
97,20244044,Male,65_to_74,Motorcycle rider
98,20243090,Male,40_to_64,Driver
99,20243147,Male,65_to_74,Driver
100,20245083,Female,17_to_25,Driver
101,20244019,Male,40_to_64,Motorcycle rider
102,20241194,Male,40_to_64,Driver
103,20241139,Male,17_to_25,Motorcycle rider
104,20241197,Male,17_to_25,Driver
105,20243220,Male,26_to_39,Pedestrian
106,20243267,Male,26_to_39,Driver
107,20241057,Female,75_or_older,Passenger
108,20245164,Male,40_to_64,Driver
109,20243174,Male,75_or_older,Driver
110,20242148,Male,26_to_39,Driver
111,20241166,Male,40_to_64,Driver
112,20247011,Male,65_to_74,Driver
113,20243213,Male,26_to_39,Driver
114,20241096,Male,65_to_74,Driver
115,20242089,Female,26_to_39,Driver
116,20245012,Male,26_to_39,Motorcycle rider
117,20245070,Male,26_to_39,Driver
118,20243073,Male,26_to_39,Motorcycle rider
119,20242264,Female,40_to_64,Driver
120,20241027,Male,40_to_64,Driver
121,20242018,Male,17_to_25,Motorcycle rider
122,20241163,Male,40_to_64,Motorcycle rider
123,20243143,Male,40_to_64,Driver
124,20241222,Male,17_to_25,Motorcycle rider
125,20241218,Male,40_to_64,Driver
126,20243249,Male,40_to_64,Motorcycle rider
127,20243098,Female,40_to_64,Passenger
128,20242193,Male,65_to_74,Other/-9
129,20241306,Male,17_to_25,Driver
130,20247002,Male,40_to_64,Driver
131,20243037,Male,17_to_25,Passenger
132,20244083,Male,40_to_64,Driver
133,20245145,Male,75_or_older,Driver
134,20241196,Male,17_to_25,Motorcycle rider
135,20244028,Female,40_to_64,Passenger
136,20243038,Male,17_to_25,Driver
137,20242023,Female,40_to_64,Pedestrian
138,20242230,Female,75_or_older,Driver
139,20242127,Male,65_to_74,Pedal cyclist
140,20242120,Male,65_to_74,Motorcycle rider
141,20241106,Male,75_or_older,Passenger
142,20241230,Female,40_to_64,Pedestrian
143,20241055,Male,40_to_64,Driver
144,20241267,Male,40_to_64,Motorcycle rider
145,20242260,Male,26_to_39,Driver
146,20242158,Male,65_to_74,Driver
147,20242057,Male,0_to_16,Driver
148,20242163,Female,75_or_older,Passenger
149,20245098,Male,17_to_25,Driver
150,20243153,Male,26_to_39,Driver
151,20242161,Male,40_to_64,Pedestrian
152,20243172,Male,26_to_39,Pedal cyclist
153,20241236,Male,26_to_39,Motorcycle rider
154,20245162,Male,17_to_25,Motorcycle rider
155,20242213,Female,17_to_25,Driver
156,20242005,Female,75_or_older,Pedestrian
157,20241188,Male,40_to_64,Motorcycle rider
158,20245056,Female,40_to_64,Pedestrian
159,20245008,Female,75_or_older,Driver
160,20242114,Male,40_to_64,Driver
161,20243191,Female,75_or_older,Driver
162,20243191,Female,17_to_25,Driver
163,20241256,Female,75_or_older,Driver
164,20241256,Male,17_to_25,Passenger
165,20247006,Male,26_to_39,Passenger
166,20242207,Male,40_to_64,Driver
167,20242019,Female,75_or_older,Driver
168,20243008,Male,17_to_25,Passenger
169,20243041,Male,26_to_39,Driver
170,20243001,Male,26_to_39,Pedestrian
171,20244021,Female,65_to_74,Pedestrian
172,20243113,Male,17_to_25,Driver
173,20242050,Male,17_to_25,Driver
174,20242004,Female,40_to_64,Passenger
175,20241107,Female,40_to_64,Driver
176,20243022,Female,0_to_16,Driver
177,20248002,Male,26_to_39,Driver
178,20242088,Male,17_to_25,Driver
179,20241173,Female,40_to_64,Passenger
180,20241173,Male,40_to_64,Driver
181,20241004,Male,26_to_39,Driver
182,20246004,Male,26_to_39,Driver
183,20241201,Female,40_to_64,Pedestrian
184,20242124,Male,40_to_64,Motorcycle rider
185,20241029,Female,40_to_64,Motorcycle rider
186,20243005,Male,65_to_74,Motorcycle rider
187,20241261,Male,65_to_74,Motorcycle rider
188,20244024,Male,65_to_74,Pedal cyclist
189,20245004,Male,40_to_64,Driver
190,20245134,Male,26_to_39,Driver
191,20241215,Male,17_to_25,Passenger
192,20243186,Male,17_to_25,Driver
193,20248006,Male,65_to_74,Pedal cyclist
194,20243208,Male,26_to_39,Pedestrian
195,20241134,Male,26_to_39,Pedestrian
196,20243040,Male,40_to_64,Driver
197,20243040,Male,26_to_39,Passenger
198,20241263,Male,65_to_74,Driver
199,20241302,Female,26_to_39,Pedestrian
200,20241147,Male,40_to_64,Driver
201,20243096,Female,75_or_older,Pedestrian
202,20243248,Female,65_to_74,Driver
203,20241150,Female,40_to_64,Driver
204,20241247,Male,26_to_39,Driver
205,20242051,Male,0_to_16,Passenger
206,20242174,Female,40_to_64,Driver
207,20241234,Male,65_to_74,Passenger
208,20242110,Male,75_or_older,Driver
209,20242052,Male,40_to_64,Motorcycle rider
210,20243247,Male,26_to_39,Driver
211,20243144,Male,40_to_64,Driver
212,20242013,Male,65_to_74,Driver
213,20242008,Female,17_to_25,Driver
214,20241235,Male,40_to_64,Driver
215,20243087,Female,40_to_64,Driver
216,20243087,Male,75_or_older,Passenger
