Month,Year,Dayweek,Time,Day of week,Time of Day,Time Dimension Index
12,2024,Friday,04:00:00,Weekday,Night,1
12,2024,Friday,06:15:00,Weekday,Day,2
12,2024,Friday,09:43:00,Weekday,Day,3
12,2024,Friday,10:35:00,Weekday,Day,4
12,2024,Friday,11:30:00,Weekday,Day,5
12,2024,Friday,13:00:00,Weekday,Day,6
12,2024,Friday,13:39:00,Weekday,Day,7
12,2024,Friday,17:15:00,Weekday,Day,8
12,2024,Friday,19:00:00,Weekend,Night,9
12,2024,Friday,19:30:00,Weekend,Night,10
12,2024,Friday,19:40:00,Weekend,Night,11
12,2024,Friday,22:42:00,Weekend,Night,12
12,2024,Friday,23:00:00,Weekend,Night,13
12,2024,Friday,23:10:00,Weekend,Night,14
12,2024,Monday,01:00:00,Weekend,Night,15
12,2024,Monday,01:09:00,Weekend,Night,16
12,2024,Monday,02:40:00,Weekend,Night,17
12,2024,Monday,09:00:00,Weekday,Day,18
12,2024,Monday,10:20:00,Weekday,Day,19
12,2024,Monday,10:48:00,Weekday,Day,20
12,2024,Monday,12:05:00,Weekday,Day,21
12,2024,Monday,13:58:00,Weekday,Day,22
12,2024,Monday,14:00:00,Weekday,Day,23
12,2024,Monday,14:43:00,Weekday,Day,24
12,2024,Monday,15:52:00,Weekday,Day,25
12,2024,Monday,16:00:00,Weekday,Day,26
12,2024,Monday,19:35:00,Weekday,Night,27
12,2024,Monday,20:34:00,Weekday,Night,28
12,2024,Monday,21:04:00,Weekday,Night,29
12,2024,Monday,21:38:00,Weekday,Night,30
12,2024,Saturday,02:27:00,Weekend,Night,31
12,2024,Saturday,03:30:00,Weekend,Night,32
12,2024,Saturday,04:00:00,Weekend,Night,33
12,2024,Saturday,04:17:00,Weekend,Night,34
12,2024,Saturday,04:20:00,Weekend,Night,35
12,2024,Saturday,08:13:00,Weekend,Day,36
12,2024,Saturday,10:25:00,Weekend,Day,37
12,2024,Saturday,10:36:00,Weekend,Day,38
12,2024,Saturday,11:35:00,Weekend,Day,39
12,2024,Saturday,11:40:00,Weekend,Day,40
12,2024,Saturday,12:10:00,Weekend,Day,41
12,2024,Saturday,14:00:00,Weekend,Day,42
12,2024,Saturday,14:50:00,Weekend,Day,43
12,2024,Saturday,15:00:00,Weekend,Day,44
12,2024,Saturday,15:10:00,Weekend,Day,45
12,2024,Saturday,15:18:00,Weekend,Day,46
12,2024,Saturday,15:25:00,Weekend,Day,47
12,2024,Saturday,16:10:00,Weekend,Day,48
12,2024,Saturday,20:47:00,Weekend,Night,49
12,2024,Saturday,21:30:00,Weekend,Night,50
12,2024,Saturday,22:40:00,Weekend,Night,51
12,2024,Sunday,02:00:00,Weekend,Night,52
12,2024,Sunday,04:00:00,Weekend,Night,53
12,2024,Sunday,06:35:00,Weekend,Day,54
12,2024,Sunday,08:09:00,Weekend,Day,55
12,2024,Sunday,08:20:00,Weekend,Day,56
12,2024,Sunday,11:20:00,Weekend,Day,57
12,2024,Sunday,12:00:00,Weekend,Day,58
12,2024,Sunday,12:07:00,Weekend,Day,59
12,2024,Sunday,12:23:00,Weekend,Day,60
12,2024,Sunday,12:35:00,Weekend,Day,61
12,2024,Sunday,12:50:00,Weekend,Day,62
12,2024,Sunday,13:00:00,Weekend,Day,63
12,2024,Sunday,13:25:00,Weekend,Day,64
12,2024,Sunday,14:15:00,Weekend,Day,65
12,2024,Sunday,14:45:00,Weekend,Day,66
12,2024,Sunday,14:48:00,Weekend,Day,67
12,2024,Sunday,16:00:00,Weekend,Day,68
12,2024,Sunday,17:00:00,Weekend,Day,69
12,2024,Sunday,17:48:00,Weekend,Day,70
12,2024,Sunday,18:20:00,Weekend,Night,71
12,2024,Sunday,18:45:00,Weekend,Night,72
12,2024,Sunday,22:19:00,Weekend,Night,73
12,2024,Sunday,23:00:00,Weekend,Night,74
12,2024,Sunday,23:12:00,Weekend,Night,75
12,2024,Thursday,01:39:00,Weekday,Night,76
12,2024,Thursday,09:10:00,Weekday,Day,77
12,2024,Thursday,09:50:00,Weekday,Day,78
12,2024,Thursday,12:00:00,Weekday,Day,79
12,2024,Thursday,12:28:00,Weekday,Day,80
12,2024,Thursday,15:40:00,Weekday,Day,81
12,2024,Thursday,16:27:00,Weekday,Day,82
12,2024,Thursday,17:25:00,Weekday,Day,83
12,2024,Thursday,22:02:00,Weekday,Night,84
12,2024,Tuesday,04:00:00,Weekday,Night,85
12,2024,Tuesday,06:54:00,Weekday,Day,86
12,2024,Tuesday,08:30:00,Weekday,Day,87
12,2024,Tuesday,11:00:00,Weekday,Day,88
12,2024,Tuesday,13:20:00,Weekday,Day,89
12,2024,Tuesday,13:30:00,Weekday,Day,90
12,2024,Tuesday,14:00:00,Weekday,Day,91
12,2024,Tuesday,15:00:00,Weekday,Day,92
12,2024,Tuesday,17:58:00,Weekday,Day,93
12,2024,Tuesday,18:30:00,Weekday,Night,94
12,2024,Tuesday,21:10:00,Weekday,Night,95
12,2024,Tuesday,22:55:00,Weekday,Night,96
12,2024,Tuesday,23:55:00,Weekday,Night,97
12,2024,Wednesday,00:00:00,Weekday,Night,98
12,2024,Wednesday,04:00:00,Weekday,Night,99
12,2024,Wednesday,12:25:00,Weekday,Day,100
12,2024,Wednesday,12:54:00,Weekday,Day,101
12,2024,Wednesday,16:00:00,Weekday,Day,102
12,2024,Wednesday,16:10:00,Weekday,Day,103
12,2024,Wednesday,17:00:00,Weekday,Day,104
12,2024,Wednesday,19:05:00,Weekday,Night,105
11,2024,Friday,02:00:00,Weekday,Night,106
11,2024,Friday,04:44:00,Weekday,Night,107
11,2024,Friday,07:05:00,Weekday,Day,108
11,2024,Friday,07:10:00,Weekday,Day,109
11,2024,Friday,09:00:00,Weekday,Day,110
11,2024,Friday,10:00:00,Weekday,Day,111
11,2024,Friday,10:50:00,Weekday,Day,112
11,2024,Friday,10:54:00,Weekday,Day,113
11,2024,Friday,12:42:00,Weekday,Day,114
11,2024,Friday,13:00:00,Weekday,Day,115
11,2024,Friday,14:30:00,Weekday,Day,116
11,2024,Friday,17:30:00,Weekday,Day,117
11,2024,Friday,18:00:00,Weekend,Night,118
11,2024,Friday,20:00:00,Weekend,Night,119
11,2024,Friday,21:45:00,Weekend,Night,120
11,2024,Friday,22:35:00,Weekend,Night,121
11,2024,Monday,03:15:00,Weekend,Night,122
11,2024,Monday,06:00:00,Weekday,Day,123
11,2024,Monday,06:23:00,Weekday,Day,124
11,2024,Monday,10:56:00,Weekday,Day,125
11,2024,Monday,11:30:00,Weekday,Day,126
11,2024,Monday,12:12:00,Weekday,Day,127
11,2024,Monday,14:00:00,Weekday,Day,128
11,2024,Monday,14:20:00,Weekday,Day,129
11,2024,Monday,15:05:00,Weekday,Day,130
11,2024,Monday,15:07:00,Weekday,Day,131
11,2024,Monday,15:08:00,Weekday,Day,132
11,2024,Monday,15:38:00,Weekday,Day,133
11,2024,Monday,16:30:00,Weekday,Day,134
11,2024,Monday,17:57:00,Weekday,Day,135
11,2024,Monday,20:00:00,Weekday,Night,136
11,2024,Monday,23:10:00,Weekday,Night,137
11,2024,Saturday,03:45:00,Weekend,Night,138
11,2024,Saturday,05:20:00,Weekend,Night,139
11,2024,Saturday,06:00:00,Weekend,Day,140
11,2024,Saturday,06:35:00,Weekend,Day,141
11,2024,Saturday,09:00:00,Weekend,Day,142
11,2024,Saturday,09:25:00,Weekend,Day,143
11,2024,Saturday,10:00:00,Weekend,Day,144
11,2024,Saturday,10:10:00,Weekend,Day,145
11,2024,Saturday,11:00:00,Weekend,Day,146
11,2024,Saturday,11:05:00,Weekend,Day,147
11,2024,Saturday,11:10:00,Weekend,Day,148
11,2024,Saturday,11:20:00,Weekend,Day,149
11,2024,Saturday,11:25:00,Weekend,Day,150
11,2024,Saturday,15:35:00,Weekend,Day,151
11,2024,Saturday,16:00:00,Weekend,Day,152
11,2024,Saturday,17:20:00,Weekend,Day,153
11,2024,Saturday,17:45:00,Weekend,Day,154
11,2024,Saturday,18:38:00,Weekend,Night,155
11,2024,Saturday,18:39:00,Weekend,Night,156
11,2024,Saturday,19:00:00,Weekend,Night,157
11,2024,Saturday,21:00:00,Weekend,Night,158
11,2024,Saturday,21:35:00,Weekend,Night,159
11,2024,Saturday,23:00:00,Weekend,Night,160
11,2024,Saturday,23:14:00,Weekend,Night,161
11,2024,Saturday,23:23:00,Weekend,Night,162
11,2024,Saturday,23:24:00,Weekend,Night,163
11,2024,Sunday,00:00:00,Weekend,Night,164
11,2024,Sunday,01:30:00,Weekend,Night,165
11,2024,Sunday,02:10:00,Weekend,Night,166
11,2024,Sunday,03:00:00,Weekend,Night,167
11,2024,Sunday,06:00:00,Weekend,Day,168
11,2024,Sunday,07:15:00,Weekend,Day,169
11,2024,Sunday,08:10:00,Weekend,Day,170
11,2024,Sunday,09:40:00,Weekend,Day,171
11,2024,Sunday,10:40:00,Weekend,Day,172
11,2024,Sunday,11:00:00,Weekend,Day,173
11,2024,Sunday,11:04:00,Weekend,Day,174
11,2024,Sunday,11:30:00,Weekend,Day,175
11,2024,Sunday,12:25:00,Weekend,Day,176
11,2024,Sunday,12:30:00,Weekend,Day,177
11,2024,Sunday,14:45:00,Weekend,Day,178
11,2024,Sunday,17:00:00,Weekend,Day,179
11,2024,Sunday,17:10:00,Weekend,Day,180
11,2024,Sunday,21:00:00,Weekend,Night,181
11,2024,Thursday,00:01:00,Weekday,Night,182
11,2024,Thursday,02:00:00,Weekday,Night,183
11,2024,Thursday,04:00:00,Weekday,Night,184
11,2024,Thursday,04:02:00,Weekday,Night,185
11,2024,Thursday,05:45:00,Weekday,Night,186
11,2024,Thursday,09:00:00,Weekday,Day,187
11,2024,Thursday,12:20:00,Weekday,Day,188
11,2024,Thursday,13:30:00,Weekday,Day,189
11,2024,Thursday,16:00:00,Weekday,Day,190
11,2024,Thursday,16:05:00,Weekday,Day,191
11,2024,Thursday,17:25:00,Weekday,Day,192
11,2024,Thursday,17:44:00,Weekday,Day,193
11,2024,Thursday,18:15:00,Weekday,Night,194
11,2024,Tuesday,05:00:00,Weekday,Night,195
11,2024,Tuesday,06:00:00,Weekday,Day,196
11,2024,Tuesday,08:25:00,Weekday,Day,197
11,2024,Tuesday,08:40:00,Weekday,Day,198
11,2024,Tuesday,10:45:00,Weekday,Day,199
11,2024,Tuesday,11:00:00,Weekday,Day,200
11,2024,Tuesday,11:48:00,Weekday,Day,201
11,2024,Tuesday,11:58:00,Weekday,Day,202
11,2024,Tuesday,12:00:00,Weekday,Day,203
11,2024,Tuesday,12:25:00,Weekday,Day,204
11,2024,Tuesday,12:37:00,Weekday,Day,205
11,2024,Tuesday,12:55:00,Weekday,Day,206
11,2024,Tuesday,14:33:00,Weekday,Day,207
11,2024,Tuesday,16:00:00,Weekday,Day,208
11,2024,Tuesday,16:40:00,Weekday,Day,209
11,2024,Tuesday,17:00:00,Weekday,Day,210
11,2024,Tuesday,17:03:00,Weekday,Day,211
11,2024,Tuesday,18:09:00,Weekday,Night,212
11,2024,Tuesday,20:10:00,Weekday,Night,213
11,2024,Tuesday,23:00:00,Weekday,Night,214
11,2024,Tuesday,23:40:00,Weekday,Night,215
11,2024,Wednesday,01:40:00,Weekday,Night,216
11,2024,Wednesday,17:15:00,Weekday,Day,217
11,2024,Wednesday,18:00:00,Weekday,Night,218
11,2024,Wednesday,18:15:00,Weekday,Night,219
11,2024,Wednesday,21:50:00,Weekday,Night,220
11,2024,Wednesday,22:08:00,Weekday,Night,221
11,2024,Wednesday,23:49:00,Weekday,Night,222
10,2024,Friday,06:50:00,Weekday,Day,223
10,2024,Friday,07:15:00,Weekday,Day,224
10,2024,Friday,10:00:00,Weekday,Day,225
10,2024,Friday,11:00:00,Weekday,Day,226
10,2024,Friday,11:22:00,Weekday,Day,227
10,2024,Friday,15:00:00,Weekday,Day,228
10,2024,Friday,15:50:00,Weekday,Day,229
10,2024,Friday,16:00:00,Weekday,Day,230
10,2024,Friday,16:22:00,Weekday,Day,231
10,2024,Friday,16:58:00,Weekday,Day,232
10,2024,Friday,17:50:00,Weekday,Day,233
10,2024,Friday,19:00:00,Weekend,Night,234
10,2024,Friday,19:57:00,Weekend,Night,235
10,2024,Friday,20:00:00,Weekend,Night,236
10,2024,Friday,22:20:00,Weekend,Night,237
10,2024,Friday,22:45:00,Weekend,Night,238
10,2024,Friday,23:38:00,Weekend,Night,239
10,2024,Monday,00:25:00,Weekend,Night,240
10,2024,Monday,02:00:00,Weekend,Night,241
10,2024,Monday,06:30:00,Weekday,Day,242
10,2024,Monday,08:00:00,Weekday,Day,243
10,2024,Monday,10:24:00,Weekday,Day,244
10,2024,Monday,14:00:00,Weekday,Day,245
10,2024,Monday,14:37:00,Weekday,Day,246
10,2024,Monday,14:40:00,Weekday,Day,247
10,2024,Monday,16:00:00,Weekday,Day,248
10,2024,Monday,16:20:00,Weekday,Day,249
10,2024,Monday,18:00:00,Weekday,Night,250
10,2024,Saturday,02:10:00,Weekend,Night,251
10,2024,Saturday,04:00:00,Weekend,Night,252
10,2024,Saturday,05:06:00,Weekend,Night,253
10,2024,Saturday,05:12:00,Weekend,Night,254
10,2024,Saturday,08:00:00,Weekend,Day,255
10,2024,Saturday,12:00:00,Weekend,Day,256
10,2024,Saturday,13:00:00,Weekend,Day,257
10,2024,Saturday,13:10:00,Weekend,Day,258
10,2024,Saturday,14:00:00,Weekend,Day,259
10,2024,Saturday,16:46:00,Weekend,Day,260
10,2024,Saturday,16:57:00,Weekend,Day,261
10,2024,Saturday,19:15:00,Weekend,Night,262
10,2024,Saturday,20:10:00,Weekend,Night,263
10,2024,Sunday,00:23:00,Weekend,Night,264
10,2024,Sunday,01:00:00,Weekend,Night,265
10,2024,Sunday,01:15:00,Weekend,Night,266
10,2024,Sunday,03:45:00,Weekend,Night,267
10,2024,Sunday,07:55:00,Weekend,Day,268
10,2024,Sunday,08:30:00,Weekend,Day,269
10,2024,Sunday,09:00:00,Weekend,Day,270
10,2024,Sunday,09:49:00,Weekend,Day,271
10,2024,Sunday,10:00:00,Weekend,Day,272
10,2024,Sunday,11:15:00,Weekend,Day,273
10,2024,Sunday,12:10:00,Weekend,Day,274
10,2024,Sunday,13:00:00,Weekend,Day,275
10,2024,Sunday,13:29:00,Weekend,Day,276
10,2024,Sunday,13:46:00,Weekend,Day,277
10,2024,Sunday,14:00:00,Weekend,Day,278
10,2024,Sunday,14:42:00,Weekend,Day,279
10,2024,Sunday,14:51:00,Weekend,Day,280
10,2024,Sunday,15:35:00,Weekend,Day,281
10,2024,Sunday,16:00:00,Weekend,Day,282
10,2024,Sunday,16:22:00,Weekend,Day,283
10,2024,Sunday,16:45:00,Weekend,Day,284
10,2024,Thursday,03:38:00,Weekday,Night,285
10,2024,Thursday,04:50:00,Weekday,Night,286
10,2024,Thursday,05:45:00,Weekday,Night,287
10,2024,Thursday,08:00:00,Weekday,Day,288
10,2024,Thursday,08:28:00,Weekday,Day,289
