support,itemsets,length
0.8288758695151955,"frozenset({'1', '-9.0'})",2
0.3354337398445935,"frozenset({'100', '-9.0'})",2
0.2376586367417739,"frozenset({'-9.0', '17_to_25'})",2
0.2147370656849036,"frozenset({'-9.0', '26_to_39'})",2
0.23859673964989292,"frozenset({'-9.0', '40_to_64'})",2
0.2511106784431032,"frozenset({'60', '-9.0'})",2
0.5579057295077615,"frozenset({'-9.0', 'Day'})",2
0.4164822910951024,"frozenset({'Driver', '-9.0'})",2
0.2602439067561109,"frozenset({'-9.0', 'Female'})",2
0.6647432607041082,"frozenset({'-9.0', 'Male'})",2
0.43379294475812874,"frozenset({'-9.0', 'Multiple'})",2
0.3004053312565269,"frozenset({'NSW', '-9.0'})",2
0.42230560914738835,"frozenset({'Night', '-9.0'})",2
0.9809901410694373,"frozenset({'-9.0', 'No'})",2
0.21087845372320654,"frozenset({'-9.0', 'Passenger'})",2
0.5471971963113086,"frozenset({'Single', '-9.0'})",2
0.811034214206064,"frozenset({'-9.0', 'Undetermined'})",2
0.8025558879232526,"frozenset({'Unknown', '-9.0'})",2
0.21466626546542295,"frozenset({'Vic', '-9.0'})",2
0.5776058905782608,"frozenset({'-9.0', 'Weekday'})",2
0.4031541497778643,"frozenset({'-9.0', 'Weekend'})",2
0.2701559374834062,"frozenset({'100', '1'})",2
0.2100642511991787,"frozenset({'1', '40_to_64'})",2
0.23241942050020356,"frozenset({'60', '1'})",2
0.4827512965290192,"frozenset({'1', 'Day'})",2
0.3677363399826539,"frozenset({'1', 'Driver'})",2
0.2084712462608634,"frozenset({'1', 'Female'})",2
0.5861904171902933,"frozenset({'1', 'Male'})",2
0.3453811706816291,"frozenset({'1', 'Multiple'})",2
0.2583146007752624,"frozenset({'1', 'NSW'})",2
0.3622139228631609,"frozenset({'1', 'Night'})",2
0.8456024213675062,"frozenset({'1', 'No'})",2
0.5002212506858771,"frozenset({'Single', '1'})",2
0.681062711294405,"frozenset({'1', 'Undetermined'})",2
0.6732746871515302,"frozenset({'Unknown', '1'})",2
0.5057967679699807,"frozenset({'1', 'Weekday'})",2
0.33961095279395365,"frozenset({'1', 'Weekend'})",2
0.20825884560242136,"frozenset({'100', 'Day'})",2
0.22997681292812008,"frozenset({'100', 'Male'})",2
0.3417172593235039,"frozenset({'100', 'No'})",2
0.28139547232596424,"frozenset({'100', 'Undetermined'})",2
0.27888206453440006,"frozenset({'Unknown', '100'})",2
0.24123404782554825,"frozenset({'No', '17_to_25'})",2
0.20447103386020496,"frozenset({'17_to_25', 'Undetermined'})",2
0.20378073172026834,"frozenset({'Unknown', '17_to_25'})",2
0.21891427863426377,"frozenset({'No', '26_to_39'})",2
0.24461475830575075,"frozenset({'No', '40_to_64'})",2
0.25449138892330564,"frozenset({'60', 'No'})",2
0.2216754871940103,"frozenset({'60', 'Undetermined'})",2
0.21981698143264244,"frozenset({'60', 'Unknown'})",2
0.2419243499654849,"frozenset({'Driver', 'Day'})",2
0.36092181885763847,"frozenset({'Male', 'Day'})",2
0.3019452360302317,"frozenset({'Multiple', 'Day'})",2
0.5695877657220737,"frozenset({'No', 'Day'})",2
0.26764252969184205,"frozenset({'Single', 'Day'})",2
0.4565375152662973,"frozenset({'Day', 'Undetermined'})",2
0.45090889781758325,"frozenset({'Unknown', 'Day'})",2
0.395631626458042,"frozenset({'Weekday', 'Day'})",2
0.3206364939731313,"frozenset({'Driver', 'Male'})",2
0.2004885215144167,"frozenset({'Driver', 'Multiple'})",2
0.42540311874966813,"frozenset({'Driver', 'No'})",2
0.22491459723525142,"frozenset({'Single', 'Driver'})",2
0.3366727436855054,"frozenset({'Driver', 'Undetermined'})",2
0.33495583836309895,"frozenset({'Unknown', 'Driver'})",2
0.2590757031346797,"frozenset({'Driver', 'Weekday'})",2
0.26486362107722533,"frozenset({'No', 'Female'})",2
0.21563976848328228,"frozenset({'Female', 'Undetermined'})",2
0.2148078659043843,"frozenset({'Unknown', 'Female'})",2
0.28594438642759795,"frozenset({'Male', 'Multiple'})",2
0.20632953962157283,"frozenset({'NSW', 'Male'})",2
0.3175743844805919,"frozenset({'Night', 'Male'})",2
0.6791157052586863,"frozenset({'No', 'Male'})",2
0.39317131883108836,"frozenset({'Single', 'Male'})",2
0.5396215728268757,"frozenset({'Male', 'Undetermined'})",2
0.5367895640476485,"frozenset({'Unknown', 'Male'})",2
0.38846310423562314,"frozenset({'Weekday', 'Male'})",2
0.2904756004743615,"frozenset({'Male', 'Weekend'})",2
0.4421119705471087,"frozenset({'No', 'Multiple'})",2
0.3581252101881516,"frozenset({'Multiple', 'Undetermined'})",2
0.3551693010248332,"frozenset({'Unknown', 'Multiple'})",2
0.2857673858788962,"frozenset({'Weekday', 'Multiple'})",2
0.30458254420588704,"frozenset({'NSW', 'No'})",2
0.24551746110412942,"frozenset({'NSW', 'Undetermined'})",2
0.24548206099438907,"frozenset({'Unknown', 'NSW'})",2
0.4296334318636388,"frozenset({'Night', 'No'})",2
0.2895197975113723,"frozenset({'Single', 'Night'})",2
0.3539656972936616,"frozenset({'Night', 'Undetermined'})",2
0.35086818769138184,"frozenset({'Unknown', 'Night'})",2
0.23617183213267962,"frozenset({'Night', 'Weekend'})",2
0.2139228631608758,"frozenset({'No', 'Passenger'})",2
0.20110802343487263,"frozenset({'No', 'Qld'})",2
0.5578880294528913,"frozenset({'Single', 'No'})",2
0.8112820149742465,"frozenset({'No', 'Undetermined'})",2
0.8025558879232526,"frozenset({'Unknown', 'No'})",2
0.21873727808556206,"frozenset({'Vic', 'No'})",2
0.589376427066924,"frozenset({'Weekday', 'No'})",2
0.41039347221976386,"frozenset({'No', 'Weekend'})",2
0.4531568047860948,"frozenset({'Single', 'Undetermined'})",2
0.44738658689841937,"frozenset({'Single', 'Unknown'})",2
0.3036090411880277,"frozenset({'Single', 'Weekday'})",2
0.25410198771616194,"frozenset({'Single', 'Weekend'})",2
0.8014761845761722,"frozenset({'Unknown', 'Undetermined'})",2
0.47439687063029895,"frozenset({'Weekday', 'Undetermined'})",2
0.33665504363063525,"frozenset({'Weekend', 'Undetermined'})",2
0.46924615466307945,"frozenset({'Unknown', 'Weekday'})",2
0.3330796325468609,"frozenset({'Unknown', 'Weekend'})",2
