antecedents,consequents,support,confidence,lift
"frozenset({'H_-9', 'G_No', 'O_No', 'L_Male'})",frozenset({'M_Unknown'}),0.2416921616204241,1.0,1.2494288224956063
"frozenset({'G_No', 'O_No', 'I_No', 'H_-9', 'L_Male'})",frozenset({'N_Undetermined'}),0.21461476245736189,1.0,1.2327466620426564
"frozenset({'H_-9', 'R_Weekday', 'G_No'})",frozenset({'N_Undetermined'}),0.20293983190913248,1.0,1.2327466620426564
"frozenset({'H_-9', 'R_Weekday', 'G_No'})",frozenset({'M_Unknown'}),0.20293983190913248,1.0,1.2494288224956063
"frozenset({'M_Unknown', 'R_Weekday', 'O_No', 'H_-9'})","frozenset({'P_No', 'N_Undetermined'})",0.20214860920631572,1.0,1.2375481428291664
"frozenset({'R_Weekday', 'O_No', 'M_Unknown', 'H_-9', 'N_Undetermined'})",frozenset({'P_No'}),0.20214860920631572,1.0,1.0059251136383736
"frozenset({'H_-9', 'O_No', 'N_Undetermined'})",frozenset({'P_No'}),0.34940394556387805,1.0,1.0059251136383736
"frozenset({'P_No', 'R_Weekday', 'O_No', 'M_Unknown', 'H_-9'})",frozenset({'N_Undetermined'}),0.20214860920631572,1.0,1.2327466620426564
"frozenset({'M_Unknown', 'R_Weekday', 'O_No', 'H_-9'})",frozenset({'N_Undetermined'}),0.20214860920631572,1.0,1.2327466620426564
"frozenset({'M_Unknown', 'R_Weekday', 'O_No', 'H_-9'})",frozenset({'P_No'}),0.20214860920631572,1.0,1.0059251136383736
"frozenset({'P_No', 'G_No', 'O_No', 'M_Unknown', 'I_No', 'A_NSW'})",frozenset({'N_Undetermined'}),0.20200794739248162,1.0,1.2327466620426564
"frozenset({'H_-9', 'R_Weekday', 'O_No', 'N_Undetermined'})",frozenset({'P_No'}),0.20216619193304497,1.0,1.0059251136383736
"frozenset({'H_-9', 'R_Weekday', 'O_No'})",frozenset({'P_No'}),0.20235960192706684,1.0,1.0059251136383736
"frozenset({'G_No', 'O_No', 'M_Unknown', 'I_No', 'A_NSW'})",frozenset({'N_Undetermined'}),0.20281675282202763,1.0,1.2327466620426564
"frozenset({'M_Unknown', 'R_Weekday', 'H_-9'})","frozenset({'P_No', 'N_Undetermined'})",0.20925203080493723,1.0,1.2375481428291664
"frozenset({'M_Unknown', 'O_No', 'H_-9'})",frozenset({'P_No'}),0.3493863628371488,1.0,1.0059251136383736
"frozenset({'P_No', 'O_No', 'M_Unknown', 'I_No', 'A_NSW'})",frozenset({'N_Undetermined'}),0.2080036572071597,1.0,1.2327466620426564
"frozenset({'M_Unknown', 'R_Weekday', 'H_-9', 'N_Undetermined'})",frozenset({'P_No'}),0.20925203080493723,1.0,1.0059251136383736
"frozenset({'M_Unknown', 'I_No', 'O_No', 'A_NSW'})",frozenset({'N_Undetermined'}),0.20883004536343497,1.0,1.2327466620426564
"frozenset({'M_Unknown', 'O_No', 'H_-9', 'N_Undetermined'})",frozenset({'P_No'}),0.3493687801104195,1.0,1.0059251136383736
"frozenset({'P_No', 'R_Weekday', 'H_-9', 'M_Unknown'})",frozenset({'N_Undetermined'}),0.20925203080493723,1.0,1.2327466620426564
"frozenset({'M_Unknown', 'R_Weekday', 'H_-9'})",frozenset({'P_No'}),0.20925203080493723,1.0,1.0059251136383736
"frozenset({'P_No', 'G_No', 'M_Unknown', 'I_No', 'A_NSW'})",frozenset({'N_Undetermined'}),0.2090410380841861,1.0,1.2327466620426564
"frozenset({'H_-9', 'R_Weekday', 'G_No'})",frozenset({'P_No'}),0.20293983190913248,1.0,1.0059251136383736
"frozenset({'M_Unknown', 'R_Weekday', 'G_No', 'H_-9'})",frozenset({'N_Undetermined'}),0.20293983190913248,1.0,1.2327466620426564
"frozenset({'H_-9', 'R_Weekday', 'G_No', 'N_Undetermined'})",frozenset({'M_Unknown'}),0.20293983190913248,1.0,1.2494288224956063
"frozenset({'H_-9', 'R_Weekday', 'G_No', 'N_Undetermined'})","frozenset({'P_No', 'M_Unknown'})",0.20293983190913248,1.0,1.2542230847263265
"frozenset({'H_-9', 'G_No'})",frozenset({'P_No'}),0.3523402609276647,1.0,1.0059251136383736
"frozenset({'H_-9', 'G_No'})",frozenset({'M_Unknown'}),0.3523402609276647,1.0,1.2494288224956063
"frozenset({'H_-9', 'G_No'})",frozenset({'N_Undetermined'}),0.3523402609276647,1.0,1.2327466620426564
"frozenset({'M_Unknown', 'F_Single', 'H_-9', 'N_Undetermined'})",frozenset({'P_No'}),0.20058374652741148,1.0,1.0059251136383736
"frozenset({'M_Unknown', 'F_Single', 'H_-9'})",frozenset({'P_No'}),0.20061891198086998,1.0,1.0059251136383736
"frozenset({'H_-9', 'O_No'})",frozenset({'P_No'}),0.35007208917959,1.0,1.0059251136383736
"frozenset({'H_-9', 'F_Single', 'N_Undetermined'})",frozenset({'P_No'}),0.20061891198086998,1.0,1.0059251136383736
"frozenset({'H_-9', 'F_Single'})",frozenset({'P_No'}),0.2011639765094771,1.0,1.0059251136383736
"frozenset({'H_-9', 'R_Weekday', 'G_No'})","frozenset({'P_No', 'M_Unknown', 'N_Undetermined'})",0.20293983190913248,1.0,1.2556630017220825
"frozenset({'M_Unknown', 'R_Weekday', 'G_No', 'H_-9'})","frozenset({'P_No', 'N_Undetermined'})",0.20293983190913248,1.0,1.2375481428291664
"frozenset({'H_-9', 'R_Weekday', 'G_No'})","frozenset({'M_Unknown', 'N_Undetermined'})",0.20293983190913248,1.0,1.2508577461071522
"frozenset({'P_No', 'R_Weekday', 'G_No', 'H_-9'})","frozenset({'M_Unknown', 'N_Undetermined'})",0.20293983190913248,1.0,1.2508577461071522
"frozenset({'R_Weekday', 'G_No', 'M_Unknown', 'H_-9', 'N_Undetermined'})",frozenset({'P_No'}),0.20293983190913248,1.0,1.0059251136383736
"frozenset({'P_No', 'R_Weekday', 'G_No', 'H_-9', 'N_Undetermined'})",frozenset({'M_Unknown'}),0.20293983190913248,1.0,1.2494288224956063
