Fatal Crash Data ,Unnamed: 1,(Data current to December 2024),Unnamed: 3,Unnamed: 4
Crash ID,State,Month,Year,Dayweek
20241115,NSW,12,2024,Friday
20241125,NSW,12,2024,Friday
20246013,Tas,12,2024,Friday
20241002,NSW,12,2024,Friday
20242261,Vic,12,2024,Friday
20243185,Qld,12,2024,Friday
20244016,SA,12,2024,Friday
20245001,WA,12,2024,Friday
20243168,Qld,12,2024,Friday
20246003,Tas,12,2024,Friday
20246001,Tas,12,2024,Friday
20244081,SA,12,2024,Friday
20241087,NSW,12,2024,Friday
20241054,NSW,12,2024,Friday
20244042,SA,12,2024,Monday
20242183,Vic,12,2024,Monday
20242171,Vic,12,2024,Monday
20243246,Qld,12,2024,Monday
20248007,ACT,12,2024,Monday
20241101,NSW,12,2024,Monday
20241216,NSW,12,2024,Monday
20241300,NSW,12,2024,Monday
20243007,Qld,12,2024,Monday
20241278,NSW,12,2024,Monday
20245005,WA,12,2024,Monday
20241149,NSW,12,2024,Monday
20247029,NT,12,2024,Monday
20242156,Vic,12,2024,Monday
20245143,WA,12,2024,Monday
20245039,WA,12,2024,Monday
20242087,Vic,12,2024,Saturday
20241068,NSW,12,2024,Saturday
20243273,Qld,12,2024,Saturday
20242141,Vic,12,2024,Saturday
20245045,WA,12,2024,Saturday
20245093,WA,12,2024,Saturday
20244020,SA,12,2024,Saturday
20244055,SA,12,2024,Saturday
20242095,Vic,12,2024,Saturday
20245100,WA,12,2024,Saturday
20241094,NSW,12,2024,Saturday
20243209,Qld,12,2024,Saturday
20243160,Qld,12,2024,Saturday
20244001,SA,12,2024,Saturday
20243243,Qld,12,2024,Saturday
20245119,WA,12,2024,Saturday
20246016,Tas,12,2024,Saturday
20241119,NSW,12,2024,Saturday
20245133,WA,12,2024,Saturday
20245069,WA,12,2024,Saturday
20241169,NSW,12,2024,Saturday
20245161,WA,12,2024,Saturday
20241291,NSW,12,2024,Sunday
20243036,Qld,12,2024,Sunday
20244026,SA,12,2024,Sunday
20241077,NSW,12,2024,Sunday
20241028,NSW,12,2024,Sunday
20241022,NSW,12,2024,Sunday
20243015,Qld,12,2024,Sunday
20245068,WA,12,2024,Sunday
20242229,Vic,12,2024,Sunday
20244023,SA,12,2024,Sunday
20241098,NSW,12,2024,Sunday
20243114,Qld,12,2024,Sunday
20245092,WA,12,2024,Sunday
20241040,NSW,12,2024,Sunday
20242188,Vic,12,2024,Sunday
20241174,NSW,12,2024,Sunday
20241088,NSW,12,2024,Sunday
20245031,WA,12,2024,Sunday
20242136,Vic,12,2024,Sunday
20241255,NSW,12,2024,Sunday
20242227,Vic,12,2024,Sunday
20241053,NSW,12,2024,Sunday
20243046,Qld,12,2024,Sunday
20245107,WA,12,2024,Sunday
20241080,NSW,12,2024,Thursday
20242006,Vic,12,2024,Thursday
20245130,WA,12,2024,Thursday
20243044,Qld,12,2024,Thursday
20246009,Tas,12,2024,Thursday
20241274,NSW,12,2024,Thursday
20242073,Vic,12,2024,Thursday
20241240,NSW,12,2024,Thursday
20242035,Vic,12,2024,Thursday
20243176,Qld,12,2024,Tuesday
20245006,WA,12,2024,Tuesday
20241181,NSW,12,2024,Tuesday
20243110,Qld,12,2024,Tuesday
20242037,Vic,12,2024,Tuesday
20244044,SA,12,2024,Tuesday
20243090,Qld,12,2024,Tuesday
20243147,Qld,12,2024,Tuesday
20245083,WA,12,2024,Tuesday
20244019,SA,12,2024,Tuesday
20241194,NSW,12,2024,Tuesday
20241139,NSW,12,2024,Tuesday
20241197,NSW,12,2024,Tuesday
